HOLE:	995B
LEG:	164
TOP:	133.960007
BOTTOM:	657.911194
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
184.5568	0.8519	0.8543	0.8375
184.7092	0.8517	0.8416	0.8266
184.8616	0.8500	0.8317	0.8104
185.0140	0.8501	0.8301	0.7927
185.1664	0.8507	0.8384	0.8027
185.3188	0.8468	0.8522	0.8139
185.4712	0.8483	0.8639	0.8044
185.6236	0.8525	0.8681	0.8331
185.7760	0.8545	0.8659	0.8370
185.9284	0.8558	0.8617	0.8115
186.0808	0.8570	0.8583	0.8214
186.2332	0.8580	0.8561	0.8426
186.3856	0.8634	0.8545	0.8304
186.5380	0.8706	0.8542	0.7985
186.6904	0.8742	0.8560	0.7813
186.8428	0.8764	0.8596	0.8075
186.9952	0.8781	0.8633	0.8244
187.1476	0.8884	0.8663	0.8418
187.3000	0.8967	0.8703	0.8033
187.4524	0.9016	0.8777	0.7925
187.6048	0.9041	0.8884	0.8027
187.7572	0.9090	0.8999	0.8201
187.9096	0.9164	0.9091	0.8387
188.0620	0.9174	0.9144	0.8582
188.2144	0.9276	0.9156	0.8796
188.3668	0.9244	0.9125	0.9309
188.5192	0.9323	0.9045	0.9361
188.6716	0.9361	0.8933	0.9478
188.8240	0.9358	0.8840	0.8807
188.9764	0.9271	0.8798	0.8096
189.1288	0.9180	0.8786	0.7960
189.2812	0.9127	0.8751	0.8446
189.4336	0.9006	0.8663	0.8151
189.5860	0.9094	0.8544	0.8027
189.7384	0.9124	0.8462	0.8037
189.8908	0.9072	0.8462	0.7836
190.0432	0.9017	0.8516	0.8253
190.1956	0.8979	0.8543	0.8155
190.3480	0.8922	0.8489	0.8152
190.5004	0.8978	0.8374	0.7542
190.6528	0.9090	0.8282	0.7294
190.8052	0.9061	0.8302	0.7428
190.9576	0.9055	0.8463	0.7590
191.1100	0.9032	0.8698	0.7505
191.2624	0.8961	0.8862	0.7960
191.4148	0.8925	0.8832	0.8195
191.5672	0.8905	0.8629	0.7656
191.7196	0.9092	0.8395	0.7208
191.8720	0.9082	0.8277	0.7263
192.0244	0.9017	0.8328	0.7481
192.1768	0.9017	0.8481	0.7964
192.3292	0.8991	0.8608	0.8113
192.4816	0.8975	0.8629	0.8112
192.6340	0.9041	0.8562	0.7610
192.7864	0.9058	0.8474	0.7906
192.9388	0.9160	0.8424	0.8212
193.0912	0.9212	0.8451	0.8204
193.2436	0.9253	0.8578	0.7895
193.3960	0.9354	0.8815	0.7745
193.5484	0.9478	0.9140	0.8485
193.7008	0.9453	0.9488	0.9140
193.8532	0.9528	0.9785	0.8791
194.0056	0.9766	0.9989	0.8500
194.1580	0.9856	1.0096	0.8523
194.3104	0.9905	1.0102	0.8823
194.4628	0.9820	1.0004	0.8945
194.6152	0.9803	0.9844	0.9816
194.7676	0.9805	0.9693	0.9334
194.9200	0.9809	0.9587	0.9103
195.0724	0.9785	0.9510	0.9105
195.2248	0.9736	0.9445	0.8510
195.3772	0.9668	0.9405	0.8622
195.5296	0.9548	0.9424	0.9082
195.6820	0.9499	0.9509	0.8902
195.8344	0.9521	0.9607	0.8137
195.9868	0.9514	0.9621	0.8041
196.1392	0.9552	0.9515	0.9094
196.2916	0.9736	0.9348	0.8649
196.4440	0.9762	0.9212	0.8794
196.5964	0.9765	0.9170	0.9038
196.7488	0.9758	0.9233	0.8898
196.9012	0.9713	0.9342	0.8948
197.0536	0.9627	0.9382	0.8731
197.2060	0.9657	0.9256	0.8402
197.3584	0.9679	0.8989	0.8630
197.5108	0.9800	0.8749	0.8623
197.6632	0.9976	0.8730	0.8095
197.8156	0.9818	0.9018	0.8223
197.9680	0.9708	0.9525	0.9542
198.1204	0.9716	0.9986	0.9280
198.2728	0.9757	1.0155	0.9074
198.4252	0.9870	1.0041	0.9082
198.5776	0.9957	0.9839	0.8822
198.7300	0.9884	0.9693	0.8586
198.8824	0.9660	0.9619	0.8719
199.0348	0.9574	0.9573	0.8599
199.1872	0.9528	0.9505	0.8869
199.3396	0.9443	0.9396	0.8633
199.4920	0.9300	0.9251	0.8373
199.6444	0.9102	0.9095	0.8478
199.7968	0.9177	0.8968	0.7974
199.9492	0.9182	0.8913	0.8822
200.1016	0.9143	0.8955	0.8921
200.2540	0.9275	0.9107	0.8222
200.4064	0.9531	0.9342	0.7832
200.5588	0.9561	0.9541	0.9700
200.7112	0.9530	0.9532	0.9335
200.8636	0.9521	0.9247	0.9246
201.0160	0.9657	0.8812	1.0026
201.1684	0.9592	0.8444	0.8991
201.3208	0.9547	0.8296	0.7414
201.4732	0.9535	0.8389	0.7303
201.6256	0.9465	0.8625	0.7487
201.7780	0.9185	0.8876	0.8089
201.9304	0.9168	0.9061	0.8044
202.0828	0.9346	0.9166	0.8042
202.2352	0.9408	0.9243	0.7880
202.3876	0.9494	0.9347	0.7875
202.5400	0.9581	0.9470	0.8054
202.6924	0.9605	0.9548	0.8674
202.8448	0.9676	0.9542	0.8930
202.9972	0.9866	0.9474	0.9102
203.1496	1.0033	0.9390	0.8510
203.3020	1.0181	0.9356	0.8672
203.4544	1.0336	0.9438	0.9013
203.6068	1.0431	0.9651	0.8907
203.7592	1.0474	0.9910	0.9415
203.9116	1.0391	1.0062	0.9774
204.0640	1.0481	0.9995	0.9764
204.2164	1.0593	0.9743	0.9120
204.3688	1.0672	0.9468	0.8588
204.5212	1.0720	0.9333	0.8611
204.6736	1.0795	0.9421	0.8539
204.8260	1.0841	0.9738	0.8707
204.9784	1.0878	1.0237	0.9380
205.1308	1.0884	1.0806	0.9811
205.2832	1.0911	1.1249	1.0048
205.4356	1.0931	1.1402	1.0058
205.5880	1.0947	1.1282	0.9620
205.7404	1.0892	1.1026	0.9381
205.8928	1.0770	1.0725	0.9723
206.0452	1.0643	1.0394	0.9302
206.1976	1.0446	1.0045	0.9746
206.3500	1.0257	0.9733	0.9250
206.5024	1.0025	0.9536	0.8147
206.6548	0.9843	0.9461	0.8748
206.8072	0.9778	0.9425	0.9100
206.9596	0.9767	0.9366	0.8862
207.1120	0.9926	0.9348	0.8018
207.2644	1.0137	0.9503	0.8028
207.4168	1.0309	0.9914	0.8530
207.5692	1.0251	1.0525	0.9176
207.7216	1.0313	1.1063	0.9304
207.8740	1.0390	1.1169	1.0169
208.0264	1.0630	1.0812	1.0424
208.1788	1.1300	1.0333	0.9692
208.3312	1.1453	1.0053	0.9415
208.4836	1.1504	1.0095	0.9822
208.6360	1.1520	1.0419	0.9855
208.7884	1.1371	1.0843	0.9710
208.9408	1.1210	1.1135	0.9279
209.0932	1.1248	1.1184	0.9119
209.2456	1.1082	1.1020	0.9892
209.3980	1.0788	1.0715	1.0222
209.5504	1.0672	1.0361	1.0365
209.7028	1.0540	1.0048	0.9593
209.8552	1.0362	0.9790	0.9951
210.0076	1.0139	0.9550	0.9471
210.1600	1.0169	0.9329	0.8640
210.3124	1.0030	0.9174	0.7667
210.4648	0.9790	0.9124	0.7682
210.6172	0.9742	0.9165	0.8123
210.7696	0.9651	0.9189	0.8527
210.9220	0.9371	0.9050	0.8854
211.0744	0.9593	0.8751	0.8499
211.2268	0.9942	0.8477	0.7582
211.3792	1.0064	0.8415	0.7535
211.5316	1.0175	0.8630	0.7281
211.6840	1.0149	0.9023	0.7596
211.8364	1.0092	0.9338	0.9477
211.9888	1.0401	0.9367	0.9481
212.1412	1.0428	0.9177	0.8298
212.2936	1.0418	0.8964	0.8051
212.4460	1.0425	0.8821	0.8389
212.5984	1.0202	0.8731	0.8486
212.7508	1.0048	0.8640	0.7575
212.9032	0.9972	0.8520	0.7418
213.0556	0.9947	0.8404	0.7420
213.2080	0.9904	0.8328	0.7429
213.3604	0.9828	0.8280	0.7776
213.5128	0.9717	0.8241	0.7974
213.6652	0.9857	0.8222	0.7793
213.8176	1.0031	0.8244	0.7723
213.9700	1.0080	0.8334	0.7428
214.1224	1.0100	0.8528	0.7572
214.2748	1.0212	0.8853	0.7595
214.4272	1.0427	0.9322	0.8302
214.5796	1.0677	0.9906	1.0073
214.7320	1.0963	1.0492	1.0069
214.8844	1.1253	1.0914	0.9998
215.0368	1.1316	1.1060	1.0108
215.1892	1.1327	1.0954	0.9822
215.3416	1.1323	1.0715	0.9163
215.4940	1.1336	1.0493	0.8838
215.6464	1.1261	1.0391	0.9075
215.7988	1.1151	1.0439	0.9606
215.9512	1.1125	1.0605	0.9569
216.1036	1.1120	1.0814	0.9678
216.2560	1.1116	1.0979	0.9637
216.4084	1.1054	1.1041	0.9699
216.5608	1.0977	1.0979	0.9801
216.7132	1.0929	1.0785	0.9117
216.8656	1.0885	1.0497	0.9101
217.0180	1.0819	1.0204	0.9777
217.1704	1.0553	0.9974	0.9240
217.3228	1.0151	0.9798	0.8994
217.4752	1.0020	0.9621	0.8910
217.6276	0.9997	0.9411	0.8998
217.7800	0.9992	0.9186	0.9001
217.9324	0.9990	0.8994	0.8918
218.0848	1.0007	0.8905	0.8382
218.2372	1.0005	0.8996	0.8018
218.3896	1.0509	0.9327	0.8437
218.5420	1.0809	0.9884	0.8479
218.6944	1.0946	1.0546	0.8466
218.8468	1.1033	1.1085	0.8671
218.9992	1.1111	1.1289	0.8741
219.1516	1.1355	1.1118	1.0099
219.3040	1.1820	1.0729	1.0246
219.4564	1.2149	1.0359	0.9290
219.6088	1.2258	1.0204	0.8933
219.7612	1.2419	1.0362	0.8907
219.9136	1.2538	1.0811	0.9457
220.0660	1.2882	1.1419	1.1173
220.2184	1.3737	1.2027	1.0766
220.3708	1.4073	1.2535	1.0696
220.5232	1.4064	1.2919	1.0676
220.6756	1.4391	1.3182	1.0682
220.8280	1.4684	1.3323	1.1321
220.9804	1.4574	1.3331	1.1866
221.1328	1.4422	1.3197	1.2213
221.2852	1.4482	1.2923	1.2104
221.4376	1.4379	1.2598	1.2236
221.5900	1.4555	1.2438	1.1825
221.7424	1.4488	1.2611	1.1380
221.8948	1.4200	1.3074	1.1961
222.0472	1.3986	1.3592	1.2492
222.1996	1.3354	1.3862	1.2493
222.3520	1.2920	1.3677	1.2231
222.5044	1.2517	1.3087	1.1549
222.6568	1.2357	1.2337	1.1696
222.8092	1.2295	1.1640	1.1124
222.9616	1.2037	1.1137	1.1421
223.1140	1.1667	1.0941	1.1075
223.2664	1.1584	1.1081	1.0073
223.4188	1.1571	1.1439	1.0394
223.5712	1.1585	1.1810	1.0643
223.7236	1.1701	1.2034	1.0561
223.8760	1.2090	1.2094	1.0835
224.0284	1.2446	1.2113	1.1246
224.1808	1.2752	1.2236	1.1907
224.3332	1.2943	1.2504	1.2412
224.4856	1.3047	1.2829	1.2635
224.6380	1.3098	1.3052	1.1626
224.7904	1.3119	1.3056	1.1805
224.9428	1.3145	1.2852	1.1546
225.0952	1.3123	1.2561	1.0406
225.2476	1.3063	1.2312	1.1115
225.4000	1.2834	1.2164	1.0474
225.5524	1.2403	1.2059	1.1211
225.7048	1.1873	1.1850	1.1062
225.8572	1.1574	1.1449	1.0957
226.0096	1.1392	1.0935	1.0232
226.1620	1.1280	1.0480	0.9166
226.3144	1.0999	1.0208	0.9562
226.4668	1.0644	1.0122	0.9207
