OCEAN DRILLING PROGRAM		
Hole: 995B		
Leg: 164		
Shear Sonic Tool		
Operator: Borehole Research Group (Lamont Doherty Earth 		
Date: 11/2/1995		

"Note: for further information about the tool and the data processing performed, refer to the paper: Guerin et al., "Characterization of in situ elastic properties of gas hydrate-bearing sediments on the Blake Ridge, J. Geophys. Res., 104(8), 17,781-17,795, 1999".		

DEPTH	VP	VS
mbsf	m/s	m/s
584.14	1990.3	603.63
583.99	1983.95	614.41
583.84	1980.7	610.16
583.69	1977.44	602.2
583.54	1977.44	594.21
583.39	1974.3	593.27
583.24	1983.9	600.61
583.09	1987.15	619.32
582.94	1983.95	628.14
582.79	1974.35	630.19
582.64	1980.7	625.44
582.49	1990.78	608.3
582.34	1984.33	578.3
582.19	1981.18	557.86
582.04	1981.18	543.7
581.89	1974.83	528.45
581.74	1943.04	546.39
581.59	1927.79	571.87
581.44	1921.64	598.9
581.29	1887.45	626.16
581.14	1861.22	659.38
580.99	1852.63	669.02
580.84	1833.16	677.45
580.69	1799.98	671.87
580.54	1789.88	652.73
580.39	1759.95	625.4
580.24	1722.22	600.46
580.09	1699.95	569.99
579.94	1683.12	576.55
579.79	1660.2	635.14
579.64	1642.83	700.38
579.49	1627.74	741.4
579.34	1608.07	762.22
579.19	1590.71	738.29
579.04	1586.49	660.29
578.89	1594.94	589.25
578.74	1599.11	542.34
578.59	1603.28	526.41
578.44	1603.28	536.72
578.29	1603.28	573.86
578.14	1601.12	594.29
577.99	1605.4	615.49
577.84	1607.53	630.62
577.69	1609.6	643.26
577.54	1613.82	625.33
577.41	1605.48	601.94
577.29	1594.99	578.73
577.17	1586.65	556.41
577.05	1586.65	529.74
576.93	1580.51	514.33
576.79	1558.57	525.45
576.64	1556.55	541.46
576.49	1558.6	557.14
576.34	1558.6	580.18
576.19	1558.6	550.11
576.04	1570.18	509.86
575.89	1572.2	464.71
575.74	1564.18	526.75
575.59	1554.34	460.6
575.44	1540.91	453.81
575.29	1529.32	446.82
575.14	1517.59	475.6
574.99	1517.59	396.11
574.84	1521.45	436.57
574.69	1536.9	482.57
574.54	1552.55	517.37
574.39	1568.4	536.67
574.24	1576.42	548.46
574.09	1586.51	507.99
573.94	1594.85	467.56
573.79	1601.15	430.64
573.64	1593.02	376.51
573.49	1588.96	330.93
573.34	1576.92	340.41
573.19	1556.85	346.42
573.04	1542.53	344.49
572.89	1542.53	440.22
572.74	1540.54	432.41
572.59	1548.46	444.32
572.44	1552.27	498.24
572.29	1550.33	494.07
572.14	1546.42	389.26
571.99	1546.42	388.93
571.84	1548.47	369.38
571.69	1562.6	363.69
571.54	1576.73	434.03
571.39	1597.33	503.41
571.24	1620.75	502.74
571.09	1638.11	542.63
570.94	1649.03	521.5
570.79	1655.5	490.07
570.64	1649.04	458.8
570.49	1637.97	459.89
570.36	1626.9	474.97
570.24	1620.26	498.51
570.12	1618.08	527.34
570	1618.08	551.69
569.88	1622.36	566.39
569.74	1626.7	524.43
569.59	1633.25	465.48
569.44	1637.64	447.47
569.29	1639.83	411.88
569.14	1637.67	430.39
568.99	1633.33	450.65
568.84	1624.66	491.65
568.69	1615.98	502.8
568.54	1613.8	532.85
568.39	1620.35	563.53
568.24	1626.9	595.1
568.09	1633.36	609.81
567.96	1635.49	548.94
567.84	1633.33	541.95
567.72	1626.78	525.33
567.6	1626.78	505.96
567.48	1620.23	493.07
567.34	1618.05	493.07
567.19	1624.6	556.65
567.04	1628.94	599.38
566.89	1633.28	641.67
566.74	1635.43	606.03
566.59	1637.61	617.69
566.44	1635.4	511.42
566.29	1639.86	427.9
566.14	1644.31	344.77
565.99	1650.95	344.81
565.84	1657.68	381.41
565.69	1664.41	423.12
565.54	1655.62	464.49
565.39	1646.82	501.76
565.24	1635.9	530.1
565.09	1624.84	499.26
564.94	1613.77	509.53
564.79	1618.11	514.54
564.64	1624.66	514.81
564.49	1633.33	477.66
564.34	1642.13	460.99
564.19	1648.68	436.51
564.04	1653.13	393.21
563.89	1653.13	353.62
563.74	1655.38	383.67
563.59	1650.92	406.37
563.44	1646.52	394.24
563.29	1637.73	422.9
563.14	1633.33	464.86
562.99	1626.7	494.36
562.84	1624.51	529.89
562.69	1622.36	569.25
562.54	1624.51	592.64
562.39	1622.36	609.11
562.24	1620.2	612.98
562.09	1618.05	622.69
561.94	1620.2	627.92
561.79	1618.05	631.76
561.64	1615.92	634.42
561.49	1613.8	649.92
561.34	1613.8	662.65
561.19	1611.64	668.35
561.04	1615.98	649.4
560.89	1622.44	624.37
560.74	1631.12	581.17
560.59	1642.19	528.33
560.44	1650.98	501.05
560.29	1655.44	510.71
560.14	1662.17	533.08
559.99	1668.99	556.55
559.84	1671.3	584.78
559.69	1673.57	604
559.54	1673.57	611.47
559.39	1669.05	611.59
559.24	1662.23	622.76
559.09	1655.41	637.15
558.94	1648.68	636.26
558.79	1637.76	629.02
558.64	1633.36	621.86
558.49	1628.97	605.18
558.34	1624.57	597.83
558.19	1624.57	582.81
558.04	1628.85	561.19
557.89	1620.4	540.95
557.74	1607.89	520.99
557.59	1591.41	503.34
557.44	1572.76	510.09
557.29	1562.26	528.83
557.14	1570.71	547.87
556.99	1592.14	568.59
556.84	1617.53	579.44
