HOLE:	995B
LEG:	164
TOP:	115.823997
BOTTOM:	663.092407
DEPTH_WMSF	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
m	gAPI	gAPI	ppm	ppm	%	cps	cps	cps	cps	cps
134.2644	56.0316	32.8418	4.8083	2.6198	0.9622	107.3574	36.7868	13.5135	3.7538	1.5015
134.4168	53.9777	30.6811	4.4041	2.6319	0.9162	134.5741	35.7910	7.1582	1.4316	0.7158
134.5692	55.2164	31.8797	4.5309	2.6364	0.9610	126.1261	37.5375	10.5105	1.5015	1.5015
134.7216	55.4891	31.5951	4.4431	2.6994	0.9617	123.1231	35.2853	11.2613	2.2523	3.0030
134.8740	56.3989	32.2823	4.4686	2.7245	0.9967	128.4748	34.5605	13.5237	3.7566	2.2539
135.0264	57.2245	32.7578	4.4740	2.7641	1.0233	123.2156	39.8197	15.7776	1.5026	6.0105
135.1788	55.5663	31.8938	4.3078	2.6743	1.0059	130.9013	38.6266	9.2990	1.4306	3.5765
135.3312	52.2886	28.9506	3.9250	2.6366	0.9101	112.1908	36.2191	16.7845	2.6502	0.0000
135.4836	51.5360	27.1485	3.6318	2.7551	0.8631	100.7067	37.1025	14.1343	2.6502	0.0000
135.6360	54.4191	27.3145	3.5941	3.0621	0.8803	104.3406	57.5960	7.5125	1.6694	4.1736
135.7884	57.6905	28.1410	3.6453	3.3383	0.9183	136.0601	46.7446	6.6778	5.0083	0.0000
135.9408	60.4733	28.3250	3.6396	3.6319	0.9301	120.2476	44.2087	18.5676	0.8842	2.6525
136.0932	60.1648	27.0210	3.4723	3.7443	0.8873	133.2745	52.0741	11.4740	1.7652	1.7652
136.2456	60.4741	26.4438	3.2993	3.8445	0.8878	128.3186	43.3628	11.5044	2.6549	2.6549
136.3980	58.3347	25.6033	3.0719	3.6977	0.8839	127.3210	36.2511	20.3360	2.6525	0.0000
136.5504	56.2119	23.7147	2.6808	3.6713	0.8512	106.8447	55.9265	14.1903	1.6694	0.8347
136.7028	56.1612	23.3193	2.5376	3.7102	0.8564	112.2900	39.7878	9.7259	3.5367	1.7683
136.8552	56.6765	23.1226	2.4507	3.7907	0.8622	126.2136	43.2480	13.2392	1.7652	0.8826
137.0076	59.9263	26.0723	2.9052	3.8246	0.9441	122.7045	49.2487	7.5125	2.5042	0.8347
137.1600	58.3842	26.4470	3.0468	3.6080	0.9379	129.2744	51.7098	12.5104	2.5021	3.3361
137.3124	59.3391	29.1584	3.4162	3.4096	1.0228	127.2085	34.4523	8.8339	2.6502	0.0000
137.4648	57.7154	28.9583	3.4517	3.2488	1.0042	138.3333	44.1667	10.8333	4.1667	0.8333
137.6172	60.9258	31.2315	3.8308	3.3546	1.0616	131.8584	37.1681	10.6195	5.3097	0.8850
137.7696	61.0126	30.9735	3.8875	3.3936	1.0354	138.0531	50.4425	13.2743	0.8850	0.8850
137.9220	60.4160	31.1062	3.9925	3.3112	1.0223	134.2756	44.1696	15.9011	0.8834	0.8834
138.0744	58.4493	31.0233	4.0789	3.0984	1.0004	122.0159	42.4403	9.7259	1.7683	2.6525
138.2268	58.8037	32.0151	4.3082	3.0264	1.0129	121.6667	49.1667	11.6667	0.8333	1.6667
138.3792	59.4957	34.0280	4.6216	2.8772	1.0681	137.6876	45.0132	12.3566	0.0000	4.4131
138.5316	58.9100	35.1845	4.7962	2.6803	1.1010	120.1001	41.7014	20.0167	4.1701	1.6681
138.6840	56.6078	36.0534	4.9303	2.3221	1.1251	122.6022	41.7014	11.6764	1.6681	3.3361
138.8364	55.4971	37.7250	5.0956	2.0078	1.1898	119.2579	45.9364	10.6007	1.7668	3.5336
138.9888	54.4281	40.0613	5.3979	1.6231	1.2661	128.2051	36.2511	10.6101	2.6525	1.7683
139.1412	54.5483	44.2678	5.9764	1.1614	1.3967	108.6572	46.8198	10.6007	3.5336	3.5336
139.2936	55.5783	48.6301	6.6348	0.7850	1.5206	118.4792	46.8612	15.0309	2.6525	2.6525
139.4460	57.3990	52.7999	7.2699	0.5196	1.6379	127.9788	46.7785	14.1218	1.7652	2.6478
139.5984	58.2567	54.9552	7.6331	0.3730	1.6916	130.1084	42.5354	15.0125	4.1701	2.5021
139.7508	59.2779	56.9544	8.0232	0.2625	1.7309	118.3746	55.6537	16.7845	0.8834	2.6502
139.9032	58.4868	55.0729	7.7761	0.3857	1.6702	131.0518	55.0918	11.6861	2.5042	1.6694
