HOLE:	995B
LEG:	164
TOP:	151.332993
BOTTOM:	661.415771
DEPTH_WMSF	RHOB	PEF	DRHO
m	g/cm3	barns/e-	g/cm3
233.6290	1.5279	2.3864	0.0168
233.7814	1.4342	2.3542	-0.0002
233.9338	1.4267	2.3463	0.0094
234.0862	1.4669	2.4868	0.0043
234.2386	1.5212	2.6634	0.0014
234.3910	1.5738	2.8696	0.0088
234.5434	1.6015	2.9403	0.0106
234.6958	1.6208	2.8768	0.0160
234.8482	1.6360	2.8972	0.0192
235.0006	1.6158	2.9472	-0.0012
235.1530	1.6340	2.7858	0.0196
235.3054	1.6076	2.4244	0.0119
235.4578	1.5318	2.1933	0.0108
235.6102	1.4757	2.0416	0.0266
235.7626	1.4092	2.0319	0.0122
235.9150	1.4212	2.1181	-0.0121
236.0674	1.5218	2.3492	0.0198
236.2198	1.5637	2.6513	-0.0110
236.3722	1.5932	2.8254	-0.0172
236.5246	1.6339	2.8523	-0.0033
236.6770	1.6801	2.8125	0.0141
236.8294	1.6858	2.7851	0.0093
236.9818	1.6590	2.7372	0.0016
237.1342	1.6447	2.6312	0.0123
237.2866	1.6001	2.6440	0.0066
237.4390	1.5773	2.7730	0.0036
237.5914	1.5579	2.9735	-0.0138
237.7438	1.5818	3.0740	-0.0168
237.8962	1.6046	3.0514	-0.0131
238.0486	1.6401	3.0488	0.0050
238.2010	1.6570	3.0493	0.0149
238.3534	1.6610	3.0475	0.0152
238.5058	1.6411	3.0816	0.0002
238.6582	1.6319	3.1210	-0.0031
238.8106	1.6247	3.1574	0.0081
238.9630	1.6108	2.8346	0.0160
239.1154	1.5456	2.6923	-0.0116
239.2678	1.5226	2.5715	-0.0025
239.4202	1.5397	2.8127	-0.0099
239.5726	1.6201	2.9854	0.0237
239.7250	1.6548	2.9011	-0.0058
239.8774	1.6371	2.8730	-0.0170
240.0298	1.6372	2.8719	-0.0109
240.1822	1.6488	3.1155	-0.0107
240.3346	1.6724	3.2412	-0.0088
240.4870	1.6508	3.2624	-0.0204
240.6394	1.6378	3.0413	0.0023
240.7918	1.6138	3.0210	0.0132
240.9442	1.6095	2.9408	0.0059
241.0966	1.6362	3.0725	0.0052
241.2490	1.6627	2.9473	0.0068
