HOLE:	995B
LEG:	164
TOP:	150.876007
BOTTOM:	658.977600
DEPTH_WMSF	CALI
m	in
254.5080	16.8068
254.6604	16.2318
254.8128	15.4689
254.9652	14.1837
255.1176	14.0777
255.2700	14.2530
255.4224	14.5032
255.5748	13.9475
255.7272	13.9409
255.8796	13.9708
256.0320	14.2071
256.1844	14.3211
256.3368	14.3279
256.4892	14.2395
256.6416	14.2681
256.7940	16.7212
256.9464	18.2830
257.0988	18.2850
257.2512	18.3722
257.4036	18.4346
257.5560	18.4304
257.7084	17.7234
257.8608	17.5297
258.0132	16.5956
258.1656	15.9531
258.3180	16.3673
258.4704	16.6563
258.6228	16.4641
258.7752	15.3893
258.9276	15.0664
259.0800	14.0611
259.2324	13.9070
259.3848	13.9109
259.5372	13.8974
259.6896	14.4294
259.8420	15.3994
259.9944	15.2656
260.1468	13.5681
260.2992	13.6858
260.4516	14.2580
260.6040	14.8462
260.7564	14.6089
260.9088	14.2549
261.0612	14.8521
261.2136	15.1534
261.3660	15.1820
261.5184	15.0337
261.6708	13.6650
261.8232	13.6290
261.9756	13.5315
262.1280	13.7648
262.2804	14.0969
262.4328	13.8906
262.5852	14.0949
262.7376	13.9627
262.8900	13.9665
263.0424	13.8517
263.1948	13.5186
263.3472	14.2462
263.4996	14.6270
263.6520	14.4868
263.8044	14.1373
263.9568	15.1023
264.1092	15.2003
264.2616	15.6055
264.4140	13.9111
264.5664	13.8064
264.7188	14.3170
264.8712	13.7712
265.0236	13.9869
265.1760	15.4470
265.3284	16.1018
265.4808	16.6410
265.6332	17.0792
265.7856	16.6735
265.9380	16.0624
266.0904	15.6998
266.2428	14.5100
266.3952	14.5372
266.5476	14.1935
266.7000	13.8236
266.8524	13.7843
267.0048	13.9496
267.1572	14.6279
267.3096	15.2069
267.4620	15.2028
267.6144	14.4907
267.7668	13.3879
267.9192	13.3776
268.0716	13.8021
268.2240	13.9775
268.3764	13.2846
268.5288	13.5319
268.6812	15.0592
268.8336	16.0911
268.9860	16.3762
269.1384	15.2571
269.2908	16.8855
269.4432	17.6091
269.5956	15.2475
269.7480	14.1356
269.9004	13.5958
270.0528	14.3553
270.2052	15.2415
270.3576	13.3181
270.5100	13.4655
270.6624	13.1325
270.8148	13.8325
270.9672	15.2461
271.1196	15.4123
271.2720	14.0436
271.4244	13.4339
271.5768	13.7207
271.7292	13.6881
271.8816	14.0538
272.0340	14.0427
